"","logID","fightID","sourceID","boss.x","rank_boss.x","Horde","PI","Salv","Vate","Wild Magic","Flm. Cap","Hotstreak","Speed","IB","BoP","Evo","FM","Tricks","Tenti","Bomb","Sapp","cs","Tailor","character_name","class","spec","dps","duration","duration_s","fightStartTime","logStartTime","boss.y","rank_boss.y","cat_ranking","gameID","server"
"1","1D6WGZc7aY4FhC9j",8,2,"Twin Val'kyr",89,2,2,4,2,3,0,0,0,0,0,0,4,0,0,0,4,0,1,"Dewwork","Mage","Arcane",19536.80274548,117138,117.138,1692324298228,1692322893583,"Twin Val'kyr",89,"Top-100",40535989,"Mankrik"
"2","1DnVr9LvCK3ZmFx2",6,12,"Faction Champions",231,2,0,0,0,0,1,134,0,0,0,0,5,0,0,0,0,5,0,"Fojjiji","Mage","Fire",14966.396941518,139154,139.154,1691435155649,1691434545823,"Faction Champions",231,"200-500",82747267,"Gehennas"
"3","1DnVr9LvCK3ZmFx2",6,13,"Faction Champions",117,2,0,0,0,3,0,136,0,0,0,0,6,0,0,0,0,6,1,"Kaggerthree","Mage","Fire",15587.730140707,139154,139.154,1691435155649,1691434545823,"Faction Champions",117,"200-500",61810646,"Gehennas"
"4","1GN9Z6aYwpAdzgkK",8,36,"Twin Val'kyr",163,2,2,2,0,1,0,52,2,0,0,0,5,0,0,5,5,0,1,"Ozyym","Mage","Fire",19163.80317721,126652,126.652,1692816438542,1692814999484,"Twin Val'kyr",163,"200-500",82167383,"Gehennas"
"5","1QYWM7gqbPynANFz",42,129,"Anub'arak",50,2,0,0,0,0,0,59,3,2,0,0,6,0,0,0,6,0,0,"厄斐琉斯","Mage","Fire",14697.904607548,138208,138.208,1693668905742,1693655244712,"Anub'arak",50,"Top-100",4065263,"伊弗斯"
"6","1QvGBXWYrb2mLKnZ",6,24,"Faction Champions",191,2,0,0,1,0,0,140,0,0,0,0,5,0,0,0,0,0,0,"Rhoktor","Mage","Fire",15156.13316921,174665,174.665,1693765126806,1693763964552,"Faction Champions",191,"200-500",71105150,"Gehennas"
"7","1RNP3AQgw7Wm6TFa",18,11,"The Northrend Beasts",111,4,0,0,0,0,1,62,0,0,2,2,7,0,0,0,0,0,0,"姬如雪丶","Mage","Fire",12612.118002332,222033,222.033,1691851608647,1691848452761,"The Northrend Beasts",111,"200-500",5373295,"阿拉希盆地"
"8","1RNP3AQgw7Wm6TFa",43,17,"Anub'arak",299,2,0,0,0,3,0,51,0,0,0,2,0,0,0,6,6,0,0,"炎神","Mage","Fire",13073.458233428,134294,134.294,1691858006093,1691848452761,"Anub'arak",299,"200-500",2486176,"阿拉希盆地"
"9","1RdTc9wf3VpXqALH",6,45,"Twin Val'kyr",233,2,2,0,0,1,0,53,2,0,0,0,5,0,0,0,0,0,0,"Betterx","Mage","Fire",18967.340100849,120576,120.576,1693876341945,1693874024349,"Twin Val'kyr",233,"200-500",39067370,"Mankrik"
"10","1RvXkyxD3rVatJqc",17,966,"Lord Jaraxxus",119,0,2,6,0,0,0,36,3,0,0,2,0,0,0,7,0,0,0,"Battlewizard","Mage","Fire",19174.182393506,149797,149.797,1693632826947,1693620636667,"Lord Jaraxxus",119,"200-500",55840047,"Benediction"
"11","1XNTwzDcnK4GCZbt",8,11,"Faction Champions",63,0,0,0,0,0,0,174,1,0,0,0,4,0,0,0,0,0,0,"Motiph","Mage","Fire",16155.089238803,188427,188.427,1693972347540,1693971525391,"Faction Champions",63,"Top-100",62719273,"Whitemane"
"12","1YVr6LRhMagyGH9W",6,19,"Twin Val'kyr",196,2,4,4,0,0,0,57,3,0,0,0,7,0,0,0,0,0,1,"Перьехруст","Mage","Fire",19065.367899033,143572,143.572,1693740427569,1693738770799,"Twin Val'kyr",196,"200-500",82856542,"Пламегор"
"13","1caGDhZfb27kFjLP",5,25,"Faction Champions",224,0,0,0,0,1,0,118,0,0,0,0,4,0,0,0,0,4,1,"Imnerd","Mage","Fire",15000.664262668,136994,136.994,1691946925430,1691946347250,"Faction Champions",224,"200-500",81926448,"Gehennas"
"14","1caGDhZfb27kFjLP",6,2,"Twin Val'kyr",237,2,2,0,0,1,0,51,2,0,0,0,5,0,0,5,5,0,1,"Fojji","Mage","Fire",18955.601055243,126985,126.985,1691947150842,1691946347250,"Twin Val'kyr",237,"200-500",81928551,"Gehennas"
"15","1fn6aTFQb8jq3VHz",1,10,"Lord Jaraxxus",27,2,2,0,0,1,0,36,2,0,0,0,5,0,0,5,0,0,1,"洞若觀火","Mage","Fire",20514.593557433,108404,108.404,1693838788961,1693838788961,"Lord Jaraxxus",27,"Top-100",2482378,"伊弗斯"
"16","1jqRGKp6YDWwT2vt",8,50,"Twin Val'kyr",35,2,2,0,0,1,0,38,2,0,0,0,5,0,0,5,5,0,0,"永恒之莹莹","Mage","Fire",20054.505052199,95404,95.404,1693745022041,1693742288595,"Twin Val'kyr",35,"Top-100",5203333,"伊弗斯"
"17","1ktr8ydvq7j9ZwML",3,25,"Lord Jaraxxus",192,2,0,2,0,1,1,46,0,0,0,0,5,0,0,5,5,0,1,"最靚蘑菇頭","Mage","Fire",18717.676998167,129281,129.281,1693050305930,1693049922017,"Lord Jaraxxus",192,"200-500",4093595,"阿拉希盆地"
"18","1rxFCQfZA8zLD247",5,15,"Faction Champions",280,2,0,0,0,0,0,154,3,0,0,0,6,0,0,6,0,6,0,"Cakeonfire","Mage","Fire",14729.87845047,154834,154.834,1693870562768,1693869884566,"Faction Champions",280,"200-500",61520241,"Faerlina"
"19","1t2qPwRk3nDrpcFf",13,390,"Faction Champions",223,2,0,0,0,0,0,182,0,1,0,0,5,0,0,0,0,5,0,"拳头哥哥","Mage","Fire",15001.550852087,226972,226.972,1694093928819,1694086844483,"Faction Champions",223,"200-500",6666023,"伊弗斯"
"20","1vpDJTaW6qXnwGRd",6,41,"Twin Val'kyr",182,2,0,0,0,0,0,47,3,0,0,0,6,0,0,6,6,0,1,"Freezetag","Mage","Fire",19104.696681186,122363,122.363,1694080455642,1694078929510,"Twin Val'kyr",182,"200-500",12639229,"Arugal"
"21","1wczyLjVgNbhm9Px",51,598,"Twin Val'kyr",251,2,2,0,0,3,0,60,0,0,0,0,6,0,0,6,6,0,1,"때법","Mage","Fire",18918.46499173,152364,152.364,1694248783892,1694188913147,"Twin Val'kyr",251,"200-500",29270815,"로크홀라"
"22","1xTR4Vdnzm9kGyFQ",12,20,"The Northrend Beasts",132,4,0,0,0,2,1,57,0,2,0,2,7,0,0,7,0,0,0,"許翠花丶","Mage","Fire",12540.429584701,225627,225.627,1693314768887,1693312752881,"The Northrend Beasts",132,"200-500",5972195,"逐風者"
"23","1xTR4Vdnzm9kGyFQ",29,14,"Anub'arak",152,2,0,0,0,3,0,48,0,0,0,0,6,0,0,0,6,0,0,"古手梨花","Mage","Fire",13814.858723572,131586,131.586,1693321708221,1693312752881,"Anub'arak",152,"200-500",4139955,"逐風者"
"24","21DHm46RwFtgkcCj",2,28,"The Northrend Beasts",59,4,0,0,0,0,0,64,2,2,0,2,6,0,0,6,6,0,0,"Makeadk","Mage","Fire",12873.533529667,233142,233.142,1693857846352,1693857533337,"The Northrend Beasts",59,"Top-100",82813999,"Gehennas"
"25","21DHm46RwFtgkcCj",7,28,"Twin Val'kyr",185,2,0,0,0,0,0,49,3,0,0,0,6,0,0,6,6,0,0,"Makeadk","Mage","Fire",19099.24094779,116988,116.988,1693858634109,1693857533337,"Twin Val'kyr",185,"200-500",82813999,"Gehennas"
"26","23YAdtxR1yPDhZNm",8,38,"Twin Val'kyr",30,2,2,2,0,3,0,74,0,0,0,0,6,0,0,6,6,0,1,"不坠青雲之志","Mage","Fire",20149.196727343,171237,171.237,1692887148090,1692885366744,"Twin Val'kyr",30,"Top-100",4247229,"伊弗斯"
"27","24QK3Cw7VdP6y8gD",5,6,"Faction Champions",207,2,0,0,0,0,0,160,3,0,0,0,6,0,0,6,0,6,0,"Hotnfrosty","Mage","Fire",15057.261107325,180489,180.489,1694110126026,1694109443641,"Faction Champions",207,"200-500",71045785,"Gehennas"
